"","protein","gene"
"1","CD11a","ITGAL"
"2","CD11c","ITGAX"
"3","CD123","IL3RA"
"4","CD127-IL7Ra","IL7R"
"5","CD14","CD14"
"6","CD16","FCGR3A"
"7","CD161","KLRB1"
"8","CD19","CD19"
"9","CD197-CCR7","CCR7"
"10","CD25","IL2RA"
"11","CD27","CD27"
"12","CD278-ICOS","ICOS"
"13","CD28","CD28"
"14","CD3","CD3E"
"15","CD34","CD34"
"16","CD38","CD38"
"17","CD4","CD4"
"18","CD45RA","PTPRC"
"19","CD45RO","PTPRC"
"20","CD56","NCAM1"
"21","CD57","B3GAT1"
"22","CD69","CD69"
"23","CD79b","CD79B"
"24","CD8a","CD8A"
"25","HLA.DR","HLA-DRA"
