celltype.l1,celltype.l2,UMAP1,UMAP2
Progenitor cells,Prog_RBC,-11.77433966,-3.240981258
T cell,gdT,5.84198572,2.612717949
T cell,CD4 Naive,26.51876356,4.321726643
T cell,CD4 Memory,3.442785519,7.701338612
Mono/DC,CD14 Mono,-13.82671927,-3.948749698
B cell,Naive B,2.299013186,-8.188581623
T cell,CD8 Naive,8.895749587,2.118587457
Mono/DC,CD14 Mono,-6.763452512,9.265083157
B cell,Naive B,-11.38502501,-15.30326477
T cell,CD4 Naive,15.00276281,-12.0451986
T cell,CD8 Naive,17.67095663,-8.520421184
Progenitor cells,Prog_RBC,-22.79849337,-6.65513388
Mono/DC,CD14 Mono,-2.565519315,-1.804503597
T cell,CD8 Naive,3.401600975,6.96379789
Mono/DC,CD14 Mono,-5.063440782,-4.454363979
T cell,CD8 Naive,8.504683989,1.0285232
T cell,Treg,-1.974418384,-18.91543404
T cell,CD8 Effector_2,2.02472474,-3.557837642
Mono/DC,CD14 Mono,-8.934511167,2.386236511
T cell,CD8 Effector_2,-8.593793851,22.04449447
T cell,CD4 Memory,10.20325186,-2.657750763
T cell,CD4 Naive,19.44391539,8.536496006
Mono/DC,CD14 Mono,-5.199676496,3.145745837
T cell,CD4 Naive,4.955840844,-13.69190709
T cell,CD4 Memory,-1.579992515,10.24302944
NK,NK,4.566501159,13.1524218
T cell,CD8 Naive,5.431296128,-6.498146213
T cell,CD4 Naive,-1.554750425,5.576354347
Progenitor cells,GMP,2.261391449,-11.54075543
Mono/DC,CD14 Mono,-22.95882128,-6.600982345
Progenitor cells,Prog_RBC,-19.22402475,0.281746112
T cell,CD8 Effector_1,1.895947698,5.114268147
T cell,CD4 Memory,0.365009922,5.539748036
Mono/DC,CD14 Mono,-2.30473898,8.784625374
Mono/DC,CD14 Mono,-10.85058878,6.739896618
T cell,CD8 Naive,1.088646966,0.503204577
Mono/DC,CD14 Mono,-22.85002802,-6.553561367
Mono/DC,CD14 Mono,-2.617042047,-1.565996803
T cell,CD4 Memory,11.65433885,6.502586685
Mono/DC,CD16 Mono,-3.818838102,4.205891215
Progenitor cells,GMP,-15.52638529,0.347297333
Progenitor cells,GMP,-11.49540041,-5.265237488
Mono/DC,CD14 Mono,-11.34276674,9.450677716
T cell,CD4 Memory,16.69841482,6.589448773
Progenitor cells,Prog_RBC,-8.50408743,22.04081329
Mono/DC,CD14 Mono,-11.46089743,10.88847145
T cell,CD4 Memory,10.27661707,11.13160499
T cell,CD4 Naive,6.078257579,-22.08907334
NK,NK,3.513503331,-4.638420738
Mono/DC,pDC,-0.694762927,6.851475559
T cell,CD4 Memory,3.701879519,-1.638221897
T cell,CD4 Memory,3.293970722,20.68622573
T cell,CD4 Naive,10.42693045,-4.652487911
T cell,CD8 Memory_1,4.876316089,-13.76608006
T cell,CD8 Naive,18.20345022,-16.21726242
T cell,CD8 Naive,1.46058138,-0.419634022
Mono/DC,pDC,-2.685248834,-2.592061199
Mono/DC,CD14 Mono,-16.87335108,-13.10442463
Mono/DC,CD14 Mono,-19.6717119,3.90066012
T cell,CD4 Naive,-11.62988184,-2.062256492
Mono/DC,CD16 Mono,0.841140527,-2.346337713
T cell,CD4 Naive,6.112741011,-22.18423478
T cell,MAIT,11.45712759,3.543617331
T cell,CD8 Naive,5.346045274,-6.88923613
Mono/DC,CD14 Mono,-6.325402242,5.913048111
B cell,Memory B,-10.66723917,-11.48812786
Mono/DC,CD14 Mono,-6.997707349,13.26830467
T cell,CD4 Naive,-16.86912249,-12.97113243
T cell,CD8 Naive,4.273118276,-18.42164055
Mono/DC,CD14 Mono,-17.91132067,5.143544995
T cell,CD4 Memory,4.39591648,1.333869241
B cell,Naive B,-8.626239759,-16.44949738
Mono/DC,CD14 Mono,-11.16142271,6.577459656
T cell,CD8 Effector_2,4.102707166,18.53252014
Mono/DC,CD14 Mono,12.12168695,20.90062126
T cell,CD8 Naive,-0.376383763,-4.25051514
T cell,CD8 Naive,14.45939924,6.001866184
T cell,CD4 Memory,16.53997137,14.84675201
Mono/DC,CD14 Mono,-22.80538843,-6.777733959
T cell,gdT,10.01744081,10.91839107
T cell,CD8 Effector_2,8.588186759,-3.954991974
T cell,CD4 Memory,11.930007,6.721372448
Mono/DC,cDC2,-3.10156725,6.492832028
T cell,CD8 Naive,10.94945433,-0.364790596
T cell,CD4 Memory,0.14985885,-2.938558496
T cell,MAIT,5.651534098,5.681403004
T cell,CD8 Naive,2.24527942,0.867183961
T cell,CD8 Memory_1,8.007784385,13.98709568
NK,NK,3.831324357,5.561111294
B cell,Naive B,-2.759507161,-9.092874683
NK,NK,1.001746971,4.219381892
T cell,CD4 Naive,13.39756967,1.471231304
Mono/DC,CD14 Mono,-11.93841837,12.48832782
Mono/DC,cDC2,-3.706034642,11.79493602
T cell,CD4 Naive,19.48724272,8.520019375
T cell,CD4 Memory,9.507637519,-0.624685682
Progenitor cells,GMP,-1.709714872,4.955787026
Mono/DC,CD14 Mono,-3.783019048,14.75240883
T cell,CD4 Naive,7.102803248,0.581060149
B cell,Naive B,-6.081799489,-7.402415432
NK,NK,1.797077897,8.76113113
Mono/DC,CD14 Mono,-22.8457403,-6.642273105
T cell,CD8 Naive,10.66829302,10.73156818
T cell,CD4 Memory,5.048316497,-3.265450634
T cell,CD4 Memory,4.329287547,6.770029866
Mono/DC,CD14 Mono,-15.50669382,0.142321013
T cell,CD4 Memory,6.994335193,-17.14219872
T cell,CD4 Naive,15.35748293,6.608705841
B cell,Memory B,-7.64644621,-5.30528704
T cell,CD4 Naive,5.873994845,-8.315467037
Progenitor cells,Prog_RBC,-22.73998354,-6.68044535
T cell,CD4 Naive,5.678354281,24.42371734
T cell,CD4 Memory,10.65921118,10.74402221
T cell,CD8 Memory_1,11.00951006,-1.677551187
Mono/DC,CD14 Mono,-7.802272779,5.30776342
T cell,CD4 Memory,18.08344175,-16.39490143
T cell,CD4 Naive,-0.909942609,-4.93718592
NK,CD56 bright NK,8.774587172,-4.916516937
Mono/DC,pDC,-0.377781373,1.414473556
T cell,CD4 Naive,8.325133818,-1.651332773
B cell,Memory B,-10.89449499,-4.729970611
T cell,CD4 Memory,-8.489145261,22.12281211
Progenitor cells,GMP,-1.247616988,-6.500314869
T cell,CD8 Naive,2.365712154,-0.158508457
Mono/DC,CD14 Mono,-15.48874376,4.055148684
T cell,CD8 Naive,9.343813437,-1.373780168
T cell,CD4 Memory,4.62376191,6.118829571
Mono/DC,CD14 Mono,-12.16847227,5.054219567
T cell,CD4 Naive,26.66899206,4.243228041
T cell,CD4 Memory,6.580265063,-1.78925649
Mono/DC,CD14 Mono,-2.978485089,9.697055661
T cell,CD8 Naive,7.879492301,3.075587355
T cell,CD4 Naive,14.31094362,4.6787804
T cell,CD4 Naive,6.187389869,8.85636314
Progenitor cells,Prog_RBC,-16.88141344,-13.05360714
T cell,CD4 Naive,14.74810888,-21.78047959
T cell,CD4 Naive,0.006873864,13.35750564
NK,NK,1.783465433,6.426187836
T cell,CD4 Memory,6.218851107,-8.436423458
T cell,CD8 Effector_1,5.732362288,24.36952575
T cell,CD4 Naive,6.164386767,-22.01834313
B cell,Memory B,-14.08586405,-3.84705273
Mono/DC,pDC,-22.62526415,-6.811707653
T cell,CD4 Naive,-16.9050474,-12.98436085
T cell,CD4 Naive,7.668372649,9.556091152
Mono/DC,CD14 Mono,-1.573500377,10.3442696
Progenitor cells,Prog_B 2,-1.346598607,-9.202635921
T cell,MAIT,5.261605519,5.054052674
T cell,CD8 Naive,13.30032446,0.986646869
Mono/DC,cDC2,-5.316331369,3.030190312
Mono/DC,CD14 Mono,-12.64141844,-3.861689247
T cell,CD4 Memory,-6.454480153,-9.80626408
Mono/DC,CD14 Mono,0.719917196,17.04214653
T cell,CD8 Naive,10.71242811,3.219751917
Mono/DC,CD14 Mono,-15.89507006,3.788441025
T cell,CD4 Memory,18.11522772,-16.40554825
B cell,Naive B,-22.76242731,-6.729766048
Mono/DC,CD14 Mono,-19.23149393,0.19143375
NK,NK,-6.466987592,-9.831621326
B cell,Naive B,-11.98648737,-0.214073933
Progenitor cells,Prog_RBC,-16.88607691,-13.06529061
Progenitor cells,Prog_RBC,-2.169069749,-5.871978916
B cell,Naive B,2.322398442,-9.653163112
Mono/DC,CD14 Mono,-0.160130721,24.83944305
Mono/DC,CD14 Mono,0.147567409,24.83600601
T cell,CD4 Naive,-16.95868204,-12.96804062
Progenitor cells,Prog_B 2,-2.227408868,-7.171340145
T cell,MAIT,-16.25843714,15.90713485
Progenitor cells,Prog_Mk,-16.90161036,-12.98166577
Mono/DC,CD14 Mono,-8.430868131,4.683424078
B cell,Memory B,-12.21958159,-13.19053856
B cell,Memory B,0.78372671,-7.242374576
T cell,CD4 Memory,10.43970777,4.35572704
T cell,CD8 Effector_1,3.105117816,0.830534069
Mono/DC,CD14 Mono,-11.59698771,7.94035133
Mono/DC,CD14 Mono,-20.21802233,12.1197718
Progenitor cells,Prog_RBC,-12.41257284,-7.535525478
NK,NK,0.422515053,4.015157305
T cell,CD8 Naive,8.978121775,9.750815235
T cell,CD8 Naive,-16.12391375,-5.091240085
NK,NK,-1.074774247,-1.900531687
Mono/DC,cDC2,-10.85663317,6.767075859
Mono/DC,CD14 Mono,-2.473554116,-1.86426226
T cell,CD4 Naive,8.631533641,21.24789985
T cell,CD4 Naive,7.37695362,-4.479478992
Progenitor cells,GMP,-16.89314554,-12.99618641
T cell,CD4 Naive,15.01311495,-12.02856842
Mono/DC,CD14 Mono,-4.411043626,12.83061584
T cell,CD8 Naive,2.491554636,-3.116046585
Mono/DC,CD14 Mono,-16.86719416,-13.08895317
T cell,Treg,2.489553171,12.14683326
Mono/DC,CD14 Mono,-5.714682084,8.333407246
T cell,CD8 Naive,-14.23037432,-11.34685818
T cell,CD4 Naive,-0.788264972,-15.12302605
Mono/DC,cDC2,0.187278169,13.28163894
T cell,gdT,8.818774718,12.97871479
T cell,CD4 Memory,4.150831241,-5.084674038
T cell,CD8 Memory_2,0.561768669,11.3747681
B cell,Naive B,2.011012617,-8.443254627
Mono/DC,CD14 Mono,-14.00337694,3.787200295
Mono/DC,CD14 Mono,-4.992725831,1.474315904
B cell,Plasmablast,-0.892001134,-4.628122963
T cell,CD4 Memory,9.011246699,3.326158606
T cell,CD4 Memory,-1.512064439,5.555261456
Mono/DC,CD14 Mono,-22.78480814,-6.742730774
NK,NK,4.825777549,10.96072086
T cell,CD8 Naive,13.12804987,-0.886022962
Mono/DC,CD14 Mono,-20.21050928,12.09301742
T cell,CD4 Naive,-3.858496648,-7.957580723
Mono/DC,CD14 Mono,0.585127848,17.05805
T cell,CD8 Naive,14.63408377,-21.87215821
T cell,CD8 Effector_1,18.22799398,-16.46007363
Progenitor cells,HSC,-12.50804518,-3.800511039
B cell,Naive B,0.419333476,-12.54192845
T cell,CD8 Naive,12.05235865,-15.8238794
Progenitor cells,GMP,-22.88138483,-6.596447147
T cell,CD4 Naive,13.95194818,-11.97884766
NK,NK,1.019871491,8.527853333
T cell,CD8 Effector_1,2.285641748,8.240188442
T cell,CD8 Naive,15.65697386,-6.604861416
B cell,Naive B,-8.294090253,-3.256899036
B cell,Naive B,-10.1728134,-1.823444761
T cell,CD8 Naive,11.8199835,1.923967563
Progenitor cells,LMPP,-1.941987973,-4.722652115
T cell,CD8 Memory_2,5.332278508,-0.486002959
T cell,CD8 Naive,-16.89917658,-13.08503357
T cell,CD4 Memory,16.14127256,11.36590084
T cell,CD4 Memory,11.67720129,6.13675388
Mono/DC,CD16 Mono,0.539195556,9.055582844
T cell,CD8 Naive,20.81486418,0.648702197
T cell,CD4 Memory,11.93063833,10.1027182
B cell,Naive B,-3.248987657,-9.771314777
Mono/DC,CD14 Mono,-16.50444887,6.054030739
T cell,CD8 Memory_2,11.66540243,-9.393259205
Mono/DC,pDC,-4.37442444,-1.435383476
T cell,CD8 Naive,3.142487663,0.353924506
T cell,CD4 Memory,4.543565291,-4.111683048
T cell,CD8 Naive,0.085503,-25.54366509
Progenitor cells,Prog_DC,-22.92162798,-6.59805075
T cell,CD8 Memory_2,4.073604363,5.508994423
Mono/DC,CD14 Mono,0.104151386,15.56140407
T cell,CD4 Memory,14.03438379,-2.009749569
B cell,Naive B,-1.457257014,-0.225277342
Progenitor cells,LMPP,-22.86969088,-6.662484325
Mono/DC,CD14 Mono,-23.06248568,-6.481594719
T cell,CD4 Naive,10.31702139,1.132483833
Mono/DC,CD14 Mono,-22.64353274,-6.724623359
Progenitor cells,Prog_RBC,-16.90331934,-13.02903954
Progenitor cells,Prog_RBC,-16.89480303,-13.20193306
Progenitor cells,Prog_RBC,-16.88055704,-13.06364838
Mono/DC,CD14 Mono,-3.121466619,9.709687077
T cell,CD8 Naive,14.85205271,-2.514456667
B cell,Naive B,-7.505928975,-5.189399875
