celltype.l1,celltype.l2,UMAP1,UMAP2
Progenitor cells,Prog_RBC,6.520431663,-4.206193969
T cell,gdT,-1.578310583,6.639260486
T cell,CD4 Naive,-7.250238751,1.7179894
T cell,CD4 Memory,-3.697237824,6.444708064
Mono/DC,CD14 Mono,6.862625744,6.048829273
B cell,Naive B,3.806569006,-10.97926502
T cell,CD8 Naive,-5.615510319,-4.09520106
Mono/DC,CD14 Mono,5.511737491,3.845236495
B cell,Naive B,4.563615944,-11.6438673
T cell,CD4 Naive,-7.439027642,1.628977016
T cell,CD8 Naive,-6.292678212,-4.987343594
Progenitor cells,Prog_RBC,6.602527763,-3.825670287
Mono/DC,CD14 Mono,6.143908645,4.079827503
T cell,CD8 Naive,-7.047649239,-4.117317006
Mono/DC,CD14 Mono,6.995967056,5.238504127
T cell,CD8 Naive,-7.474531983,-4.200465247
T cell,Treg,-4.39659581,6.959122852
T cell,CD8 Effector_2,-3.804525469,-3.624991223
Mono/DC,CD14 Mono,7.544158127,4.787245944
T cell,CD8 Effector_2,-2.796481465,-2.600744769
T cell,CD4 Memory,1.990524437,3.429321721
T cell,CD4 Naive,-8.168249462,5.009055331
Mono/DC,CD14 Mono,7.944183971,2.732937768
T cell,CD4 Naive,-8.011830662,6.351385787
T cell,CD4 Memory,-2.443057154,7.333449081
NK,NK,1.658199455,-4.281720921
T cell,CD8 Naive,-6.563631867,-4.04918246
T cell,CD4 Naive,-8.574880932,5.316831306
Progenitor cells,GMP,6.002157833,3.377930358
Mono/DC,CD14 Mono,7.368918564,5.526714996
Progenitor cells,Prog_RBC,6.255942966,-5.346256539
T cell,CD8 Effector_1,-3.507536267,-3.874200389
T cell,CD4 Memory,-3.36365733,7.168042854
Mono/DC,CD14 Mono,6.558049823,4.778938487
Mono/DC,CD14 Mono,6.311705257,3.29383345
T cell,CD8 Naive,-6.314158295,-5.097221181
Mono/DC,CD14 Mono,7.441848423,4.35547705
Mono/DC,CD14 Mono,6.523277904,3.322127298
T cell,CD4 Memory,-2.403864954,7.205610469
Mono/DC,CD16 Mono,8.614898349,0.759278253
Progenitor cells,GMP,6.918411876,0.591683701
Progenitor cells,GMP,6.949871685,1.324393228
Mono/DC,CD14 Mono,7.92590871,4.085560993
T cell,CD4 Memory,-2.475192879,6.466844276
Progenitor cells,Prog_RBC,6.176759388,-5.096320435
Mono/DC,CD14 Mono,6.188512947,3.49840875
T cell,CD4 Memory,-3.567972754,6.328659251
T cell,CD4 Naive,-7.749152039,5.255857662
NK,NK,1.335765864,-4.873339936
Mono/DC,pDC,7.314288284,1.503369764
T cell,CD4 Memory,-2.808774088,6.443534091
T cell,CD4 Memory,-3.002588127,5.737268165
T cell,CD4 Naive,-8.474275921,5.108992294
T cell,CD8 Memory_1,-5.686317299,-3.91758804
T cell,CD8 Naive,-1.330237959,-0.980476722
T cell,CD8 Naive,-6.55284581,-3.977374837
Mono/DC,pDC,6.85052314,-0.10883829
Mono/DC,CD14 Mono,7.560386326,5.747562602
Mono/DC,CD14 Mono,6.803321506,4.802467063
T cell,CD4 Naive,-7.788591717,5.791652396
Mono/DC,CD16 Mono,8.577038433,1.062945679
T cell,CD4 Naive,-7.319463585,6.964046195
T cell,MAIT,-4.483179425,-0.042487368
T cell,CD8 Naive,-7.14034066,-6.563763901
Mono/DC,CD14 Mono,5.395055916,3.865277961
B cell,Memory B,1.13416269,-11.46720962
Mono/DC,CD14 Mono,6.059676792,3.498489335
T cell,CD4 Naive,-6.430426453,6.000533298
T cell,CD8 Naive,-7.35542569,-6.806817815
Mono/DC,CD14 Mono,7.7069613,5.840766624
T cell,CD4 Memory,-3.753696774,6.740531638
B cell,Naive B,3.482858326,-11.43608169
Mono/DC,CD14 Mono,8.811173107,4.767018512
T cell,CD8 Effector_2,-2.19243059,-1.697656914
Mono/DC,CD14 Mono,5.463240768,3.830639556
T cell,CD8 Naive,-7.755110119,-3.712135359
T cell,CD8 Naive,-6.9196218,-4.438362881
T cell,CD4 Memory,-3.644509648,5.765628532
Mono/DC,CD14 Mono,7.9999043,5.453211978
T cell,gdT,-4.034314488,0.103166685
T cell,CD8 Effector_2,-4.232262944,-2.947509572
T cell,CD4 Memory,-2.664742325,6.98507376
Mono/DC,cDC2,6.070017006,3.388323978
T cell,CD8 Naive,-7.690295552,-3.31612806
T cell,CD4 Memory,-3.580900763,5.982124522
T cell,MAIT,-4.252594326,-0.73688592
T cell,CD8 Naive,-4.200302933,-4.954876706
T cell,CD8 Memory_1,-4.831396912,-2.474682137
NK,NK,0.434890057,-3.597992703
B cell,Naive B,3.215101148,-10.6972969
NK,NK,2.075524475,-4.497799679
T cell,CD4 Naive,-8.087785099,5.503349021
