celltype.l1,celltype.l2,UMAP1,UMAP2
Progenitor cells,Prog_RBC,-6.056534622,-4.465999393
T cell,gdT,4.26656213,0.594353052
T cell,CD4 Naive,3.033196356,1.455731483
T cell,CD4 Memory,7.555064823,0.813591035
Mono/DC,CD14 Mono,-8.402030323,2.554478379
B cell,Naive B,-1.579823706,-12.74309662
T cell,CD8 Naive,3.404782917,6.285737725
Mono/DC,CD14 Mono,-10.13686404,3.720755072
B cell,Naive B,-2.27787194,-11.72649887
T cell,CD4 Naive,2.521501209,3.461298438
T cell,CD8 Naive,4.123774435,3.13749239
Progenitor cells,Prog_RBC,-2.701074932,-3.566240815
Mono/DC,CD14 Mono,-9.078427646,4.677314492
T cell,CD8 Naive,6.278142597,-0.370630769
Mono/DC,CD14 Mono,-10.62865577,5.483017178
T cell,CD8 Naive,4.738717701,5.979263516
T cell,Treg,3.101288702,1.685160728
T cell,CD8 Effector_2,4.671989586,-3.246523885
Mono/DC,CD14 Mono,-8.603926037,3.615691157
T cell,CD8 Effector_2,4.768511917,-2.950918702
T cell,CD4 Memory,5.981772091,1.314736219
T cell,CD4 Naive,4.999465611,4.742424222
Mono/DC,CD14 Mono,-8.863900516,7.558361741
T cell,CD4 Naive,6.070006039,3.454154225
T cell,CD4 Memory,4.426795151,1.499610873
NK,NK,8.203412201,-5.095206527
T cell,CD8 Naive,2.89168873,6.147863122
T cell,CD4 Naive,2.989164498,2.380999537
Progenitor cells,GMP,-7.867246006,-0.908848135
Mono/DC,CD14 Mono,-7.027185295,3.040349217
Progenitor cells,Prog_RBC,-3.726345871,-3.683501748
T cell,CD8 Effector_1,5.170018818,-3.684507875
T cell,CD4 Memory,6.419658806,0.828121813
Mono/DC,CD14 Mono,-9.749396656,2.453243228
Mono/DC,CD14 Mono,-11.02766166,3.607663365
T cell,CD8 Naive,5.656491902,5.99961588
Mono/DC,CD14 Mono,-7.601569507,1.721584769
Mono/DC,CD14 Mono,-9.130462978,2.698907824
T cell,CD4 Memory,7.208511021,0.976643833
Mono/DC,CD16 Mono,-7.997341488,8.214060517
Progenitor cells,GMP,-7.964676235,-2.247752694
Progenitor cells,GMP,-7.416589592,-0.764866857
Mono/DC,CD14 Mono,-10.31493602,4.29409525
T cell,CD4 Memory,7.904206898,0.903067501
Progenitor cells,Prog_RBC,-2.322713468,-1.616676239
Mono/DC,CD14 Mono,-9.360596988,5.501922341
T cell,CD4 Memory,7.941552307,1.092033954
T cell,CD4 Naive,3.906774428,2.620231362
NK,NK,7.435866024,-6.21255186
Mono/DC,pDC,-12.58882842,2.569510194
T cell,CD4 Memory,7.450289871,0.771833154
T cell,CD4 Memory,3.810133364,0.855863186
T cell,CD4 Naive,5.280819084,3.647052975
T cell,CD8 Memory_1,5.945536282,-3.488303451
T cell,CD8 Naive,2.227157857,1.580544921
T cell,CD8 Naive,3.7263464,5.946694108
Mono/DC,pDC,-9.755853985,-6.245264796
Mono/DC,CD14 Mono,-7.990816448,2.635162326
Mono/DC,CD14 Mono,-6.808856342,1.247239562
T cell,CD4 Naive,4.467786934,2.888642522
Mono/DC,CD16 Mono,-8.474355076,8.292188378
