"id","UMAP1","UMAP2","cell_type","Datatype"
"Cell1_1",2.06310705006689,1.36488521549803,"2","A"
"Cell2_1",-2.44905781044996,-2.425811566364,"1","A"
"Cell3_1",-2.68341448191363,-2.64051626203113,"1","A"
"Cell4_1",-2.35266044048219,-1.30150316473178,"1","A"
"Cell5_1",-0.0346611118437408,-1.68456976813038,"2","A"
"Cell6_1",1.56728582849379,2.18176509740005,"3","A"
"Cell7_1",2.63367226698317,-1.35846371852055,"2","A"
"Cell8_1",-2.82021776315442,-1.28785715773972,"1","A"
"Cell9_1",-3.16477534991421,-3.49534697232317,"1","A"
"Cell10_1",-3.51863451962725,-1.74079060993314,"1","A"
"Cell11_1",2.41542174793406,0.607182201926663,"2","A"
"Cell12_1",1.14772964448533,-2.06852945588486,"2","A"
"Cell13_1",2.51721783435297,-0.199226863461896,"2","A"
"Cell14_1",-1.81077072336832,-1.7574856251678,"1","A"
"Cell15_1",-0.833232417086998,2.68568806914426,"3","A"
"Cell16_1",0.0810540126707244,2.01118060955126,"3","A"
"Cell17_1",-3.66755573952268,-2.50005802942467,"1","A"
"Cell18_1",-1.2836963537243,-2.59072273853258,"1","A"
"Cell19_1",1.07073604772776,-1.18442578931012,"2","A"
"Cell20_1",-2.81620115033715,-2.60661897322948,"1","A"
"Cell21_1",2.11154661499059,-0.189166580352151,"2","A"
"Cell22_1",0.637155542197047,1.67247504466722,"3","A"
"Cell23_1",2.00906520968313,0.711188789598303,"2","A"
"Cell24_1",-2.01606849213106,-1.57530119323788,"1","A"
"Cell25_1",0.39933283012133,2.60622138550971,"3","A"
"Cell26_1",-0.478040253145316,3.18797400616603,"3","A"
"Cell27_1",-0.740165402453831,-0.464648723478756,"3","A"
"Cell28_1",-2.55386068220948,-1.05708017133711,"1","A"
"Cell29_1",1.84714014818577,-1.73363077460347,"2","A"
"Cell30_1",0.728023433164587,-1.11234405386161,"2","A"
"Cell31_1",-2.6434232454234,-1.15374569413175,"1","A"
"Cell32_1",-2.01742078069536,-1.05373232112482,"1","A"
"Cell33_1",0.970773593465007,1.47304850271763,"3","A"
"Cell34_1",2.48664819841325,-0.414208617477715,"2","A"
"Cell35_1",-2.17899767635262,-2.97683612516298,"1","A"
"Cell36_1",-0.516983781974506,-1.19541029359667,"2","A"
"Cell37_1",-0.346353524071387,1.10195413841612,"3","A"
"Cell38_1",-1.93555315697493,-2.45784758232319,"1","A"
"Cell39_1",3.90820387879827,0.389382807200398,"2","A"
"Cell40_1",1.80027267168841,-0.265890186472052,"2","A"
"Cell41_1",0.840896618345596,2.70763474107252,"3","A"
"Cell42_1",0.82538536682807,2.64413458413397,"3","A"
"Cell43_1",-1.33897026570495,2.9503791817522,"3","A"
"Cell44_1",1.12422869742966,1.82359625458553,"3","A"
"Cell45_1",-2.82159854115898,-1.60527518049843,"1","A"
"Cell46_1",2.72180631043203,1.29330434867692,"2","A"
"Cell47_1",-0.213268109838208,1.59166967597843,"3","A"
"Cell48_1",3.28033608618525,-0.41726730027333,"2","A"
"Cell49_1",-2.91656786559429,-2.61744954746568,"1","A"
"Cell50_1",0.318456461182734,3.38076074678579,"3","A"
"Cell51_1",-2.17841815110634,-1.29015321980582,"1","A"
"Cell52_1",0.636820051387931,3.40310566040821,"3","A"
"Cell53_1",0.803351454813602,1.1109896878371,"3","A"
"Cell54_1",2.42734793880509,-0.0645411957307966,"2","A"
"Cell55_1",2.70019351208095,-0.337618997500841,"2","A"
"Cell56_1",3.70330874652389,-0.046099200240977,"2","A"
"Cell57_1",-2.52464701161874,-2.30811143170408,"1","A"
"Cell58_1",3.19047596901257,0.526411352243856,"2","A"
"Cell59_1",-1.20328262125501,2.87981892154313,"3","A"
"Cell60_1",0.530675859871312,2.97464211339571,"3","A"
"Cell61_1",0.46262293376691,1.54206590573181,"3","A"
"Cell62_1",-1.28992315162509,1.99225221343722,"3","A"
